"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"11","UI: Account and spends","0","Spends and categories","0","0","Spends","0"
"0","API: Spends and users","0","Spends","2","0","Updating","0"
"0","API: Spends and users","0","Spends","2","0","Adding","0"
"6","UI: Account and spends","0","Account","0","0","Registration","0"
"0","SOAP: Users","0","","2","0","","0"
"0","API: Spends and users","0","Users","2","0","Updating","0"
"4","UI: Account and spends","0","Account","0","0","Login","0"
"0","GRPC: Rates and currencies","0","Currencies","1","0","","0"
"0","API: Spends and users","0","Users","3","0","Getting","0"
"2","UI: Account and spends","0","Spends and categories","0","0","Categories","0"
"0","GRPC: Rates and currencies","0","Rates","6","0","","0"
"0","API: Spends and users","0","Users","1","0","Searching","0"
"0","API: Spends and users","0","Spends","1","0","Deleting","0"
